,Title,Author,TitleMain,Subtitle
5762,The portable Malcolm X reader / edited by Manning Marable and Garrett Felber ; preface by Garrett Felber ; introduction by Manning Marable.,,The portable Malcolm X reader , edited by Manning Marable and Garrett Felber ; preface by Garrett Felber ; introduction by Manning Marable.
5767,War letters : extraordinary correspondence from American wars / edited by Andrew Carroll ; foreword by Douglas Brinkley.,,War letters : extraordinary correspondence from American wars , edited by Andrew Carroll ; foreword by Douglas Brinkley.
5774,"Back roads Great Britain / contributors, Pat Aithie [and eight others].",,Back roads Great Britain ," contributors, Pat Aithie [and eight others]."
5780,Japanese English visual bilingual dictionary / editing by Cheryl Hutty ; translation by Kazumi Honda.,,Japanese English visual bilingual dictionary , editing by Cheryl Hutty ; translation by Kazumi Honda.
5802,"Images of the mind : selections from the Edward L. Elliott family and John B. Elliott collections of Chinese calligraphy and painting at the Art Museum, Princeton University / Wen C. Fong ... [and others].",,"Images of the mind : selections from the Edward L. Elliott family and John B. Elliott collections of Chinese calligraphy and painting at the Art Museum, Princeton University ", Wen C. Fong ... [and others].
5864,"Mediterranean Instant Pot : easy, inspired meals for eating well.",,"Mediterranean Instant Pot : easy, inspired meals for eating well.",
5927,Epic : stories of survival from the world's highest peaks / edited by Clint Willis.,,Epic : stories of survival from the world's highest peaks , edited by Clint Willis.
5933,"Europe : top sights, authentic experiences / Alexis Averbuck [and 19 others].",,"Europe : top sights, authentic experiences ", Alexis Averbuck [and 19 others].
5953,The perfect spin / illustrated by Kellee Riley.,,The perfect spin , illustrated by Kellee Riley.
5973,My first Tagalog (Pilipino) dictionary : English-Tagalog (Pilipino) / designed and edited by Maria Watson ; translated by Marydel Benedikto.,,My first Tagalog (Pilipino) dictionary : English-Tagalog (Pilipino) , designed and edited by Maria Watson ; translated by Marydel Benedikto.
6016,"The science writers' handbook : everything you need to know to pitch, publish, and prosper in the digital age / the writers of SciLance, edited by Thomas Hayden and Michelle Nijhuis.",,"The science writers' handbook : everything you need to know to pitch, publish, and prosper in the digital age "," the writers of SciLance, edited by Thomas Hayden and Michelle Nijhuis."
6027,"Encounters with the people : written and oral accounts of Nez Perce life to 1858 / compiled and edited by Dennis Baird, Diane Mallickan, and W.R. Swagerty.",,Encounters with the people : written and oral accounts of Nez Perce life to 1858 ," compiled and edited by Dennis Baird, Diane Mallickan, and W.R. Swagerty."
6036,"French novelists, 1900-1930 / edited by Catharine Savage Brosman.",,"French novelists, 1900-1930 ", edited by Catharine Savage Brosman.
6072,"Older workers in the labor market : a report from the Congressional Research Service to the chairman of the Select Committee on Aging, House of Representatives, One Hundred Second Congress, first session.",,"Older workers in the labor market : a report from the Congressional Research Service to the chairman of the Select Committee on Aging, House of Representatives, One Hundred Second Congress, first session.",
6098,NOW. [#4] / [edited by Eric Reynolds ; designed by Jacob Covey].,,NOW. [#4] , [edited by Eric Reynolds ; designed by Jacob Covey].
6114,Guinness world records 2018. Gamer's edition,,Guinness world records 2018. Gamer's edition,
6115,Contemporary Northwest writing : a collection of poetry & fiction / edited by Roy Carlson.,,Contemporary Northwest writing : a collection of poetry & fiction , edited by Roy Carlson.
6118,India.,,India.,
6129,The politics of manhood : profeminist men respond to the mythopoetic men's movement (and mythopoetic leaders answer) / edited by Michael S. Kimmel.,,The politics of manhood : profeminist men respond to the mythopoetic men's movement (and mythopoetic leaders answer) , edited by Michael S. Kimmel.
6156,"The graphic canon of crime & mystery. Volume 1, From Sherlock Holmes to A Clockwork Orange to Jo Nesbø / edited by Russ Kick.",,"The graphic canon of crime & mystery. Volume 1, From Sherlock Holmes to A Clockwork Orange to Jo Nesbø ", edited by Russ Kick.
6170,American Earth : environmental writing since Thoreau / edited by Bill McKibben ; foreword by Al Gore.,,American Earth : environmental writing since Thoreau , edited by Bill McKibben ; foreword by Al Gore.
6175,"An anthology of new (American) poets / edited by Lisa Jarnot, Leonard Schwartz, and Chris Stroffolino.",,An anthology of new (American) poets ," edited by Lisa Jarnot, Leonard Schwartz, and Chris Stroffolino."
6181,Disney Christmas storybook collection.,,Disney Christmas storybook collection.,
6201,"The Traveler's reading guide : ready-made reading lists for the armchair traveler / Maggy Simony, editor.",,The Traveler's reading guide : ready-made reading lists for the armchair traveler ," Maggy Simony, editor."
6208,Forward : 21st century flash fiction / edited by Megan Giddings.,,Forward : 21st century flash fiction , edited by Megan Giddings.
6231,"Yamaha 250-400cc 2-stroke twins, 1965-1979 : service, repair, performance / Eric Jorgensen, editor.",,"Yamaha 250-400cc 2-stroke twins, 1965-1979 : service, repair, performance "," Eric Jorgensen, editor."
6234,"Bedrooms / [text, Alexandra Druesne ; photography, Jo Pauwels]",,Bedrooms ," [text, Alexandra Druesne ; photography, Jo Pauwels]"
6241,Our nation's documents : the written words that shaped our country / by the editors of TIME for Kids magazine with Melanie Kletter ; illustrations by Aaron Meshon.,,Our nation's documents : the written words that shaped our country , by the editors of TIME for Kids magazine with Melanie Kletter ; illustrations by Aaron Meshon.
6257,"District of Columbia 1800 census index, A-Z / edited by Raeone Christensen Steuart.",,"District of Columbia 1800 census index, A-Z ", edited by Raeone Christensen Steuart.
6268,Wolf pups join the pack / American Museum of Natural History.,,Wolf pups join the pack , American Museum of Natural History.
6270,"Impeachment : an American history / Jeffrey A. Engel, Jon Meacham, Timothy Naftali, Peter Baker.",,Impeachment : an American history ," Jeffrey A. Engel, Jon Meacham, Timothy Naftali, Peter Baker."
6305,"The women of Klimt, Schiele and Kokoschka / edited by Agnes Husslein-Arco, Jane Kallir, and Alfred Weidlinger.",,"The women of Klimt, Schiele and Kokoschka "," edited by Agnes Husslein-Arco, Jane Kallir, and Alfred Weidlinger."
6336,"Tractor : the definitive visual history / [editors, Sam Kennedy, Miezan van Zyl ; photographer, Gary Ombler].",,Tractor : the definitive visual history ," [editors, Sam Kennedy, Miezan van Zyl ; photographer, Gary Ombler]."
6358,Mickey's Christmas storybook treasury.,,Mickey's Christmas storybook treasury.,
6361,The future of the brain : essay by the world's leading neuroscientists / edited by Gary Marcus and Jeremy Freeman.,,The future of the brain : essay by the world's leading neuroscientists , edited by Gary Marcus and Jeremy Freeman.
6372,Six ingredients with Six Sisters' Stuff : 100+ fast and easy family meals.,,Six ingredients with Six Sisters' Stuff : 100+ fast and easy family meals.,
6393,When violence begins at home : a comprehensive guide to understanding and ending domestic abuse / K.J. Wilson.,,When violence begins at home : a comprehensive guide to understanding and ending domestic abuse , K.J. Wilson.
6410,"Sunset edible garden cookbook : fresh, healthy cooking from the garden.",,"Sunset edible garden cookbook : fresh, healthy cooking from the garden.",
6420,Courage is contagious : and other reasons to be grateful for Michelle Obama / edited by Nicholas Haramis ; illustrations by Joana Avillez ; foreword by Lena Dunham and Jenni Konner ; introduction by Nick Haramis.,,Courage is contagious : and other reasons to be grateful for Michelle Obama , edited by Nicholas Haramis ; illustrations by Joana Avillez ; foreword by Lena Dunham and Jenni Konner ; introduction by Nick Haramis.
6459,The big book of trains.,,The big book of trains.,
6471,Toy story : storybook collection.,,Toy story : storybook collection.,
6485,"The card catalog : books, cards, and literary treasures / the Library of Congress ; foreword by Carla Hayden.",,"The card catalog : books, cards, and literary treasures ", the Library of Congress ; foreword by Carla Hayden.
6490,"Ways of drawing : artists' perspectives and practices / Royal Drawing School ; introduced by Julian Bell ; edited by Julian Bell, Julia Balchin & Claudia Tobin.",,Ways of drawing : artists' perspectives and practices ," Royal Drawing School ; introduced by Julian Bell ; edited by Julian Bell, Julia Balchin & Claudia Tobin."
6565,Peppa Pig and the lost Christmas list.,,Peppa Pig and the lost Christmas list.,
6596,Victoria : the ways of flowers / text by Tovah Martin.,,Victoria : the ways of flowers , text by Tovah Martin.
6602,Growing up gay/growing up lesbian : a literary anthology / edited by Bennett L. Singer.,,Growing up gay,growing up lesbian : a literary anthology / edited by Bennett L. Singer.
6626,Russian-English visual bilingual dictionary.,,Russian-English visual bilingual dictionary.,
6635,Children's piano songs for dummies / performance notes by Adam Perlmutter.,,Children's piano songs for dummies , performance notes by Adam Perlmutter.
6645,The Earthscan reader in tropical forestry / edited by Simon Rietbergen.,,The Earthscan reader in tropical forestry , edited by Simon Rietbergen.
6646,Vocabulary & spelling success in 20 minutes a day.,,Vocabulary & spelling success in 20 minutes a day.,
6654,30 animals that share our world : [fascinating bite-sized essays from award-winning writers] / edited by Jean Reynolds.,,30 animals that share our world : [fascinating bite-sized essays from award-winning writers] , edited by Jean Reynolds.
6673,5-minute stories / cover illustration by Joe Mathieu.,,5-minute stories , cover illustration by Joe Mathieu.
6677,Step-by-step projects for self-sufficiency.,,Step-by-step projects for self-sufficiency.,
6694,Atari XL user's handbook / by WSI staff.,,Atari XL user's handbook , by WSI staff.
6709,Masters : beadweaving : major works by leading artists / curated by Carol Wilcox Wells.,,Masters : beadweaving : major works by leading artists , curated by Carol Wilcox Wells.
6730,500 cabinets : a showcase of design & craftsmanship.,,500 cabinets : a showcase of design & craftsmanship.,
6737,Fairy tales from the Brothers Grimm : a new English version / [edited] by Philip Pullman.,,Fairy tales from the Brothers Grimm : a new English version , [edited] by Philip Pullman.
6739,The Sound of rattles and clappers : a collection of new California Indian writing / edited by Greg Sarris.,,The Sound of rattles and clappers : a collection of new California Indian writing , edited by Greg Sarris.
6745,"What your fourth grader needs to know : fundamentals of a good fourth-grade education / edited by E.D. Hirsch, Jr.",,What your fourth grader needs to know : fundamentals of a good fourth-grade education ," edited by E.D. Hirsch, Jr."
6748,The fire this time : a new generation speaks about race / edited by Jesmyn Ward.,,The fire this time : a new generation speaks about race , edited by Jesmyn Ward.
6776,Coach : 25 writers reflect on people who made a difference / edited by Andrew Blauner ; foreword by Bill Bradley.,,Coach : 25 writers reflect on people who made a difference , edited by Andrew Blauner ; foreword by Bill Bradley.
6818,"An Amish cradle / Beth Wiseman, Amy Clipston, Kathleen Fuller, and Vannetta Chapman.",,An Amish cradle ," Beth Wiseman, Amy Clipston, Kathleen Fuller, and Vannetta Chapman."
6824,'50s decor.,,'50s decor.,
6855,Women in Pacific Northwest history : an anthology / edited by Karen J. Blair.,,Women in Pacific Northwest history : an anthology , edited by Karen J. Blair.
6901,"Portuguese English visual bilingual dictionary / editor, Norma Tait ; translator, Maria Hooper.",,Portuguese English visual bilingual dictionary ," editor, Norma Tait ; translator, Maria Hooper."
6918,The Olympics : Athens to Athens 1896-2004.,,The Olympics : Athens to Athens 1896-2004.,
6938,"Cholesterol cures : featuring the breakthrough menu plan to slash cholesterol / by the editors of Rodale Health Books ; medical advisor, William P. Castelli.",,Cholesterol cures : featuring the breakthrough menu plan to slash cholesterol ," by the editors of Rodale Health Books ; medical advisor, William P. Castelli."
6990,"The Complete book of ethnic humor / [compiled] by Larry Wilde, with a foreword by George Jessel.",,The Complete book of ethnic humor ," [compiled] by Larry Wilde, with a foreword by George Jessel."
7008,"Marvels companion / writers, Mariano Nicieza, Mike Baron, Chuck Dixon, Dan Abnett, Andy Lanning & Warren Ellis ; artists, Bob Wakelin, Shawn Martinbrough, Tristan Shane, Brad Parker, Terese Nielsen, Vincent Evans, Igor Kordey & Cliff Nielsen with Daerick Gross, Paul Lee, Chris Moeller & Studio Infinity's Floyd Hughes, Ken Meyer, Scott Sava, Omar Lewis & Randy DuBurke ; letterers, Bill Oakley, Chris Eliopoulos, Jon Babcock and Richard Starkings & Comicraft ; editors, Marc McLaurin, Kelly Corvese, Marie Javins & Tom Daning.",,Marvels companion ," writers, Mariano Nicieza, Mike Baron, Chuck Dixon, Dan Abnett, Andy Lanning & Warren Ellis ; artists, Bob Wakelin, Shawn Martinbrough, Tristan Shane, Brad Parker, Terese Nielsen, Vincent Evans, Igor Kordey & Cliff Nielsen with Daerick Gross, Paul Lee, Chris Moeller & Studio Infinity's Floyd Hughes, Ken Meyer, Scott Sava, Omar Lewis & Randy DuBurke ; letterers, Bill Oakley, Chris Eliopoulos, Jon Babcock and Richard Starkings & Comicraft ; editors, Marc McLaurin, Kelly Corvese, Marie Javins & Tom Daning."
7023,A dog's life : a book of classic photographs / by the editors of Life magazine.,,A dog's life : a book of classic photographs , by the editors of Life magazine.
7047,"Peoples of the Old Testament world / edited by Alfred J. Hoerth, Gerald L. Mattingly & Edwin M. Yamauchi ; foreword by Alan R. Millard.",,Peoples of the Old Testament world ," edited by Alfred J. Hoerth, Gerald L. Mattingly & Edwin M. Yamauchi ; foreword by Alan R. Millard."
7050,Cracking the GED test / the staff of the Princeton Review ; editor: Meave Shelton.,,Cracking the GED test , the staff of the Princeton Review ; editor: Meave Shelton.
7157,Silent night / [artwork by] Thomas Kinkade.,,Silent night , [artwork by] Thomas Kinkade.
7161,"Presidents of the United States / by the editors of Time for kids, with Lisa DeMauro.",,Presidents of the United States ," by the editors of Time for kids, with Lisa DeMauro."
7174,"Visibility for roadways, airways, and seaways, 1991 : highway operations, capacity, and traffic control : proceedings of a conference July 25-26, 1990, Washington, D.C.",,"Visibility for roadways, airways, and seaways, 1991 : highway operations, capacity, and traffic control : proceedings of a conference July 25-26, 1990, Washington, D.C.",
7204,"X-Men. Mutant massacre / writers, Chris Claremont ... [and others] ; artists, John Romita, Jr. ... [and others].",,X-Men. Mutant massacre ," writers, Chris Claremont ... [and others] ; artists, John Romita, Jr. ... [and others]."
7238,500 workshop tips & jigs.,,500 workshop tips & jigs.,
7239,Crucial conversations : tools for talking when stakes are high / Kerry Patterson ... [and others].,,Crucial conversations : tools for talking when stakes are high , Kerry Patterson ... [and others].
7255,"An Amish Christmas Bakery : four stories / Amy Clipston, Beth Wiseman, Kathleen Fuller, and Kelly Irvin.",,An Amish Christmas Bakery : four stories ," Amy Clipston, Beth Wiseman, Kathleen Fuller, and Kelly Irvin."
7258,"The sex issue : everything you've always wanted to know about sexuality, seduction, and desire / by the editors of Goop ; foreword by Gwyneth Paltrow.",,"The sex issue : everything you've always wanted to know about sexuality, seduction, and desire ", by the editors of Goop ; foreword by Gwyneth Paltrow.
7267,"José Clemente Orozco in the United States, 1927-1934 / Dawn Ades ... [and others] ; Renato González Mello and Diane Miliotes, editors.",,"José Clemente Orozco in the United States, 1927-1934 "," Dawn Ades ... [and others] ; Renato González Mello and Diane Miliotes, editors."
7272,Black on white : Black writers on what it means to be white / edited and with an introduction by David R. Roediger.,,Black on white : Black writers on what it means to be white , edited and with an introduction by David R. Roediger.
7274,Get lit rising : Words ignite. Claim your poem. Claim your life. / Diane Luby Lane and the Get Lit Players.,,Get lit rising : Words ignite. Claim your poem. Claim your life. , Diane Luby Lane and the Get Lit Players.
7287,Cambridge guide to American theatre / edited by Don B. Wilmeth and Tice L. Miller.,,Cambridge guide to American theatre , edited by Don B. Wilmeth and Tice L. Miller.
7317,"Nobel prize winners : an H.W. Wilson biographical dictionary / editor, Tyler Wasson ; consultants, Gert H. Brieger ... [and others].",,Nobel prize winners : an H.W. Wilson biographical dictionary ," editor, Tyler Wasson ; consultants, Gert H. Brieger ... [and others]."
7350,"Worldwide worship : prayers, songs, and poetry / edited by John Marks Templeton.",,"Worldwide worship : prayers, songs, and poetry ", edited by John Marks Templeton.
7352,Lineages of members of the National Society of the Sons and Daughters of the Pilgrims / compiled from the original applications.,,Lineages of members of the National Society of the Sons and Daughters of the Pilgrims , compiled from the original applications.
7354,The Merriam-Webster thesaurus.,,The Merriam-Webster thesaurus.,
7369,India / this edition written and researched by Abigail Blasi [and 12 others].,,India , this edition written and researched by Abigail Blasi [and 12 others].
7378,"Description of proposals relating to middle income tax relief and economic growth : scheduled for hearings before the House Committee on Ways and Means on December 17-18, 1991 / Prepared by the staff of the Joint Committee on Taxation.",,"Description of proposals relating to middle income tax relief and economic growth : scheduled for hearings before the House Committee on Ways and Means on December 17-18, 1991 ", Prepared by the staff of the Joint Committee on Taxation.
7379,"The rough guide to the 100 best places on Earth 2020 / editor, Helen Fanthorpe.",,The rough guide to the 100 best places on Earth 2020 ," editor, Helen Fanthorpe."
7428,The rough guide to India / updated by Nick Edwards...[and others] ; with additional contributions by Nina Meghji.,,The rough guide to India , updated by Nick Edwards...[and others] ; with additional contributions by Nina Meghji.
7438,How to play chess.,,How to play chess.,
7443,Native arts of the Columbia Plateau : the Doris Swayze Bounds collection / edited by Susan E. Harless.,,Native arts of the Columbia Plateau : the Doris Swayze Bounds collection , edited by Susan E. Harless.
7478,That mad game : growing up in a warzone : an anthology of essays from around the globe / edited by J.L. Powers.,,That mad game : growing up in a warzone : an anthology of essays from around the globe , edited by J.L. Powers.
7488,Not For Tourists Guide to Boston.,,Not For Tourists Guide to Boston.,
7505,"100 family meals : bring the family back to the dinner table / editor-in-chief: Catherine Cassidy, editors: Amy Glander, Hazel Wheaton.",,100 family meals : bring the family back to the dinner table ," editor-in-chief: Catherine Cassidy, editors: Amy Glander, Hazel Wheaton."
7511,"The Williams-Sonoma baking book / general editor, Chuck Williams.",,The Williams-Sonoma baking book ," general editor, Chuck Williams."
7519,The American Heritage student grammar dictionary / by the editors of the American Heritage Dictionaries.,,The American Heritage student grammar dictionary , by the editors of the American Heritage Dictionaries.
7525,HVAC design manual for hospitals and clinics.,,HVAC design manual for hospitals and clinics.,
7570,"The writer's chapbook : a compendium of fact, opinion, wit, and advice from the Paris Review interviews / with a preface by Nicole Rudick ; and illustrations by Lauren Simkin Berke.",,"The writer's chapbook : a compendium of fact, opinion, wit, and advice from the Paris Review interviews ", with a preface by Nicole Rudick ; and illustrations by Lauren Simkin Berke.
7574,"Everyday Africa : 30 photographers re-picturing a continent / [editors, Teun van der Heijden [and three others] ; texts: Maaza Mengiste [and four others]].",,Everyday Africa : 30 photographers re-picturing a continent ," [editors, Teun van der Heijden [and three others] ; texts: Maaza Mengiste [and four others]]."
7592,The complete guide to bathrooms : dazzling upgrades & hardworking improvements you can do yourself / [by editors of Cool Springs Press].,,The complete guide to bathrooms : dazzling upgrades & hardworking improvements you can do yourself , [by editors of Cool Springs Press].
7600,Pleasure activism : the politics of feeling good / written and gathered by adrienne maree brown.,,Pleasure activism : the politics of feeling good , written and gathered by adrienne maree brown.
7614,The big book of Mod Podge : decoupage made easy / text by Plaid Enterprises.,,The big book of Mod Podge : decoupage made easy , text by Plaid Enterprises.
7665,The twelve days of Christmas / Rachel Griffin.,,The twelve days of Christmas , Rachel Griffin.
7682,The Moosewood Restaurant table : 250 brand-new recipes from the natural foods restaurant that revolutionized eating in America / The Moosewood Collective ; food photography by Al Karevy.,,The Moosewood Restaurant table : 250 brand-new recipes from the natural foods restaurant that revolutionized eating in America , The Moosewood Collective ; food photography by Al Karevy.
7691,Terrain : ideas and inspiration for decorating the home and garden / edited by Greg Lehmkuhl and the gardeners of Terrain ; words by Caroline Lees ; principal photography by Isa Salazar.,,Terrain : ideas and inspiration for decorating the home and garden , edited by Greg Lehmkuhl and the gardeners of Terrain ; words by Caroline Lees ; principal photography by Isa Salazar.
7718,"Art studio dogs : more than 50 projects and techniques for drawing, painting, and creating 25+ breeds in oil, acrylic, pencil, and more! / Walter Foster creative team.",,"Art studio dogs : more than 50 projects and techniques for drawing, painting, and creating 25+ breeds in oil, acrylic, pencil, and more! ", Walter Foster creative team.
7726,"The Boxcar Children guide to adventure : a how-to for mystery solving, make-it-yourself projects, and more / created by Gertrude Chandler Warner.",,"The Boxcar Children guide to adventure : a how-to for mystery solving, make-it-yourself projects, and more ", created by Gertrude Chandler Warner.
7735,"The Insulae of regions I-V / Researches in Campanian Archaeology ; Halstead B. Van der Poel, project director ; Laurentino García y García, chief topographer.",,The Insulae of regions I-V ," Researches in Campanian Archaeology ; Halstead B. Van der Poel, project director ; Laurentino García y García, chief topographer."
7742,Henry in the dark.,,Henry in the dark.,
7746,A rocketful of space poems / poems chosen by John Foster ; illustrated by Korky Paul.,,A rocketful of space poems , poems chosen by John Foster ; illustrated by Korky Paul.
7755,Big book of Elmo : a treasury of stories.,,Big book of Elmo : a treasury of stories.,
7783,America-America letters : a Norwegian-American family correspondence / compiled and edited by Bjørn Gunnar Østgård ; with an introduction by Brynhild C. Rowberg.,,America-America letters : a Norwegian-American family correspondence , compiled and edited by Bjørn Gunnar Østgård ; with an introduction by Brynhild C. Rowberg.
7786,"New Readers Press dictionary : [the clear and essential basic reference for over 5,000 everyday American English words!].",,"New Readers Press dictionary : [the clear and essential basic reference for over 5,000 everyday American English words!].",
7789,Revisioning the political : feminist reconstructions of traditional concepts in western political theory / edited by Nancy J. Hirschmann and Christine Di Stefano.,,Revisioning the political : feminist reconstructions of traditional concepts in western political theory , edited by Nancy J. Hirschmann and Christine Di Stefano.
7814,Index to Encyclopedia of American Quaker genealogy by William Wade Hinshaw.,,Index to Encyclopedia of American Quaker genealogy by William Wade Hinshaw.,
7826,"The Jewish experience in Washington State : a chronology, 1845-2015.",,"The Jewish experience in Washington State : a chronology, 1845-2015.",
7827,"Sacred choral music in print, second edition. Arranger index.",,"Sacred choral music in print, second edition. Arranger index.",
7867,"Chicken soup for the soul : the gift of Christmas : a special collection of joyful holiday stories / [compiled by] Jack Canfield, Mark Victor Hansen, [and] Amy Newmark.",,Chicken soup for the soul : the gift of Christmas : a special collection of joyful holiday stories ," [compiled by] Jack Canfield, Mark Victor Hansen, [and] Amy Newmark."
7872,H.L. Mencken : a documentary volume / edited by Richard J. Schrader.,,H.L. Mencken : a documentary volume , edited by Richard J. Schrader.
7878,Our feet walk the sky : women of the South Asian diaspora / edited by the Women of South Asian Descent Collective.,,Our feet walk the sky : women of the South Asian diaspora , edited by the Women of South Asian Descent Collective.
7881,"Elie Wiesel : Jewish, literary, and moral perspectives / edited by Steven T. Katz and Alan Rosen.",,"Elie Wiesel : Jewish, literary, and moral perspectives ", edited by Steven T. Katz and Alan Rosen.
7882,Southern Spain : Andalucia & Costa del Sol.,,Southern Spain : Andalucia & Costa del Sol.,
7884,Epic drives of the world : explore the planet's most thrilling road trips.,,Epic drives of the world : explore the planet's most thrilling road trips.,
7967,Spectrum writing. Grade 5.,,Spectrum writing. Grade 5.,
7992,Spectrum science. Grade 6.,,Spectrum science. Grade 6.,
8007,"Impairments due to injuries : United States, 1985-87.",,"Impairments due to injuries : United States, 1985-87.",
8071,In nobody's backyard : the Grenada revolution in its own words / edited by Tony Martin with the assistance of Dessima Williams.,,In nobody's backyard : the Grenada revolution in its own words , edited by Tony Martin with the assistance of Dessima Williams.
8077,"Picasso : the artist and his muses / editor, Katharina Beisiegel ; authors, Katharina Beisiegel ... [and others].",,Picasso : the artist and his muses ," editor, Katharina Beisiegel ; authors, Katharina Beisiegel ... [and others]."
8161,"The arts : a visual encyclopedia / Susie Hodge, David Taylor, Joe Fullman, Peter Chrisp.",,The arts : a visual encyclopedia ," Susie Hodge, David Taylor, Joe Fullman, Peter Chrisp."
8190,"Modern women writers / Matthew J. Bruccoli and Judith Baughman, series editors ; foreword by Mary Ann Wimsatt.",,Modern women writers ," Matthew J. Bruccoli and Judith Baughman, series editors ; foreword by Mary Ann Wimsatt."
8193,"The Goldstone report : the legacy of the landmark investigation of the Gaza conflict / edited by Adam Horowitz, Lizzy Ratner, and Philip Weiss.",,The Goldstone report : the legacy of the landmark investigation of the Gaza conflict ," edited by Adam Horowitz, Lizzy Ratner, and Philip Weiss."
8199,Growing up Puerto Rican : an anthology / edited and with an introduction by Joy L. De Jesús ; foreword by Ed Vega.,,Growing up Puerto Rican : an anthology , edited and with an introduction by Joy L. De Jesús ; foreword by Ed Vega.
8221,The New York Times book of Broadway : on the aisle for the unforgettable plays of the last century / edited and with an introduction by Ben Brantley.,,The New York Times book of Broadway : on the aisle for the unforgettable plays of the last century , edited and with an introduction by Ben Brantley.
8261,Njal's saga / translated with introduction and notes by Robert Cook.,,Njal's saga , translated with introduction and notes by Robert Cook.
8300,"Jungle animals / editor, Arpita Nath.",,Jungle animals ," editor, Arpita Nath."
8322,The official SAT study guide / written and edited by the College Board.,,The official SAT study guide , written and edited by the College Board.
8323,The Bible : Authorized King James Version / edited with an introduction and notes by Robert Carroll and Stephen Prickett.,,The Bible : Authorized King James Version , edited with an introduction and notes by Robert Carroll and Stephen Prickett.
8396,"Caring for family pets : choosing and keeping our companion animals healthy / Radford G. Davis, editor.",,Caring for family pets : choosing and keeping our companion animals healthy ," Radford G. Davis, editor."
8398,New Oxford dictionary for scientific writers and editors.,,New Oxford dictionary for scientific writers and editors.,
8407,5-minute Marvel stories.,,5-minute Marvel stories.,
8411,The Mensheviks : from the revolution of 1917 to the Second World War / edited by Leopold H. Haimson ; with contributions by David Dallin ... [and others] ; translated by Gertrude Vakar.,,The Mensheviks : from the revolution of 1917 to the Second World War , edited by Leopold H. Haimson ; with contributions by David Dallin ... [and others] ; translated by Gertrude Vakar.
8417,Makeovers : room-by-room solutions.,,Makeovers : room-by-room solutions.,
8454,"South Africa, Lesotho & Swaziland / James Bainbridge [and seven others].",,"South Africa, Lesotho & Swaziland ", James Bainbridge [and seven others].
8465,The big book of nursery rhymes & children's songs : easy guitar with notes & tab.,,The big book of nursery rhymes & children's songs : easy guitar with notes & tab.,
8481,The Merriam-Webster dictionary.,,The Merriam-Webster dictionary.,
8565,Garfield's big fat hairy adventure / by Jim Davis.,,Garfield's big fat hairy adventure , by Jim Davis.
8572,Spectrum math. Grade 6.,,Spectrum math. Grade 6.,
8575,Ninja dad! / illustrated by Shane Johnson.,,Ninja dad! , illustrated by Shane Johnson.
8579,"W, the designing life / by the staff of W ; edited by Lois Perschetz ; designed by Justine Strasberg with Elizabeth Van Itallie.",,"W, the designing life ", by the staff of W ; edited by Lois Perschetz ; designed by Justine Strasberg with Elizabeth Van Itallie.
8590,The nutcracker / illustrated by Valeria Docampo ; based on the New York City Ballet production of George Balanchine's The Nutcracker®,,The nutcracker , illustrated by Valeria Docampo ; based on the New York City Ballet production of George Balanchine's The Nutcracker®
8633,WA129 / selected by Tod Marshall.,,WA129 , selected by Tod Marshall.
8645,"Vogue knitting stitchionary 5. Volume five, Lace knitting : the ultimate stitch dictionary / from the editors of Vogue knitting magazine.",,"Vogue knitting stitchionary 5. Volume five, Lace knitting : the ultimate stitch dictionary ", from the editors of Vogue knitting magazine.
8650,A woman like that : lesbian and bisexual writers tell their coming out stories / edited by Joan Larkin.,,A woman like that : lesbian and bisexual writers tell their coming out stories , edited by Joan Larkin.
8657,Masterpieces of terror and the supernatural : a treasury of spellbinding tales old & new / selected by Marvin Kaye with Saralee Kaye.,,Masterpieces of terror and the supernatural : a treasury of spellbinding tales old & new , selected by Marvin Kaye with Saralee Kaye.
8663,Flowering plant families of the world / V.H. Heywood ... [and others].,,Flowering plant families of the world , V.H. Heywood ... [and others].
8666,Genealogies of Kentucky families : from the Filson Club history quarterly / with a foreword by Nelson L. Dawson.,,Genealogies of Kentucky families : from the Filson Club history quarterly , with a foreword by Nelson L. Dawson.
8683,"Europe : top sights, authentic experiences / Alexis Averbuck [and 19 others].",,"Europe : top sights, authentic experiences ", Alexis Averbuck [and 19 others].
8691,What office tenants want : 1999 BOMA/ULI office tenant survey report.,,What office tenants want : 1999 BOMA,ULI office tenant survey report.
8692,"The vegetable gardener's book of building projects : raised beds, cold frames, compost bins, planters, plant supports, trellises, harvesting and storage aids / from the editors of Storey Publishing ; projects designed and built by Kevin Ayer ; text edited by Cindy A. Littlefield ; photography by John Gruen.",,"The vegetable gardener's book of building projects : raised beds, cold frames, compost bins, planters, plant supports, trellises, harvesting and storage aids ", from the editors of Storey Publishing ; projects designed and built by Kevin Ayer ; text edited by Cindy A. Littlefield ; photography by John Gruen.
8710,Disney animals storybook collection.,,Disney animals storybook collection.,
8757,The encyclopedia of infant and toddler activities for children birth to 3 / edited by Donna Wittmer.,,The encyclopedia of infant and toddler activities for children birth to 3 , edited by Donna Wittmer.
8758,"Marrying my cowboy / Diana Palmer, Lindsay McKenna, Kate Pearce.",,Marrying my cowboy ," Diana Palmer, Lindsay McKenna, Kate Pearce."
